id,value,milliseconds,created,nquestions,expert_id,object_id
1,Bird,6255,2017-03-08 00:49:00.035327+00,1,6,435
2,Bird,15569,2017-03-08 00:53:44.479616+00,1,6,299
3,Amphibian,9691,2017-03-08 00:54:22.42728+00,1,6,50
4,Bird,10085,2017-03-08 00:56:32.835611+00,1,6,324
5,Mammal,6728,2017-03-08 00:57:09.395341+00,1,6,161
6,Mammal,8049,2017-03-08 00:58:32.18324+00,1,6,531
7,Mammal,12935,2017-03-08 01:01:56.291483+00,1,6,221
8,Bird,4874,2017-03-08 01:02:24.174013+00,1,6,165
9,Mammal,6938,2017-03-08 01:05:02.407212+00,1,6,225
10,Bird,5916,2017-03-08 01:11:20.031088+00,1,6,269
11,Bird,6178,2017-03-08 01:14:44.812916+00,1,6,262
12,Mammal,4885,2017-03-08 01:18:54.539861+00,1,6,451
13,Bird,5465,2017-03-08 01:22:50.951313+00,1,6,95
14,Mammal,6647,2017-03-08 01:26:20.875262+00,1,6,178
15,Mammal,8971,2017-03-08 01:26:54.774162+00,1,6,342
16,Amphibian,4420,2017-03-08 01:30:38.610507+00,1,2,310
17,Bird,8173,2017-03-08 01:31:11.138135+00,1,6,416
18,Reptil,5108,2017-03-08 01:31:31.594629+00,1,6,545
19,Mammal,2432,2017-03-08 01:33:06.457979+00,1,2,225
20,Mammal,7291,2017-03-08 01:35:06.587245+00,1,6,565
21,Mammal,2859,2017-03-08 01:37:34.765668+00,1,2,161
22,Mammal,3853,2017-03-08 01:37:39.229897+00,1,2,471
23,Mammal,6409,2017-03-08 01:46:02.486932+00,1,6,476
24,Amphibian,7791,2017-03-08 01:49:52.920649+00,1,6,425
25,Mammal,42908,2017-03-08 01:50:38.206334+00,1,6,457
26,Mammal,7178,2017-03-08 01:59:39.49143+00,1,6,259
27,Bird,6072,2017-03-08 02:00:16.579131+00,1,6,404
28,Mammal,31343,2017-03-08 02:01:47.391123+00,1,6,407
29,Mammal,11503,2017-03-08 02:04:58.459328+00,1,6,183
30,Bird,43665,2017-03-08 02:10:09.136812+00,1,6,329
31,Mammal,24368,2017-03-08 02:11:25.206607+00,1,6,208
32,Mammal,7507,2017-03-08 02:11:49.356647+00,1,6,483
33,Mammal,4582,2017-03-08 02:17:30.893442+00,1,6,388
34,Mammal,5032,2017-03-08 02:18:30.685562+00,1,6,289
35,Mammal,6104,2017-03-08 02:19:55.899959+00,1,6,101
36,Amphibian,11598,2017-03-08 02:20:10.146811+00,1,6,115
37,Mammal,14115,2017-03-08 02:21:23.383659+00,1,6,453
38,Mammal,14494,2017-03-08 02:22:03.22403+00,1,6,301
39,Reptil,7278,2017-03-08 02:26:21.428789+00,1,6,119
40,Mammal,32397,2017-03-08 02:27:22.992282+00,1,6,417
41,Reptil,5509,2017-03-08 02:27:33.928837+00,1,6,344
42,Mammal,4073,2017-03-08 02:29:00.198141+00,1,6,188
43,Mammal,4039,2017-03-08 02:29:41.511404+00,1,6,568
44,Bird,7541,2017-03-08 02:30:07.720319+00,1,6,207
45,Mammal,8805,2017-03-08 02:30:27.883769+00,1,6,306
46,Reptil,4923,2017-03-08 02:33:50.454594+00,1,6,310
47,Bird,4194,2017-03-08 02:34:49.624926+00,1,6,209
48,Reptil,7377,2017-03-08 02:38:02.33521+00,1,6,305
49,Reptil,35074,2017-03-08 02:39:07.718321+00,1,6,349
50,Mammal,4307,2017-03-08 02:39:26.579542+00,1,6,332
51,Bird,2904,2017-03-08 02:39:31.56079+00,1,6,443
52,Mammal,4878,2017-03-08 02:40:11.098049+00,1,6,368
53,Amphibian,8482,2017-03-08 02:40:22.790537+00,1,6,503
54,Reptil,4443,2017-03-08 02:40:45.056571+00,1,6,459
55,Reptil,7439,2017-03-08 02:42:04.766816+00,1,6,254
56,Bird,12624,2017-03-08 02:42:26.976042+00,1,8,303
57,Mammal,9492,2017-03-08 02:46:30.467875+00,1,6,430
58,Mammal,4195,2017-03-08 02:47:02.135432+00,1,8,568
59,Mammal,10920,2017-03-08 02:47:31.631854+00,1,6,419
60,Mammal,6198,2017-03-08 02:47:55.701002+00,1,6,572
61,Mammal,4389,2017-03-08 02:48:31.55083+00,1,6,12
62,Mammal,5698,2017-03-08 02:48:58.451169+00,1,6,275
63,Mammal,3070,2017-03-08 02:49:03.729134+00,1,6,402
64,Mammal,4104,2017-03-08 02:49:10.115995+00,1,6,454
65,Bird,8647,2017-03-08 02:49:21.27127+00,1,6,288
66,Mammal,6485,2017-03-08 02:49:30.161402+00,1,6,144
67,Mammal,12906,2017-03-08 02:49:45.751999+00,1,6,147
68,Bird,2800,2017-03-08 02:49:51.108288+00,1,6,352
69,Mammal,4074,2017-03-08 02:49:58.093725+00,1,6,139
70,Mammal,3508,2017-03-08 02:50:04.481104+00,1,6,321
71,Mammal,2270,2017-03-08 02:50:09.338504+00,1,6,230
72,Reptil,2745,2017-03-08 02:50:15.75279+00,1,6,539
73,Mammal,4054,2017-03-08 02:50:22.886181+00,1,6,523
74,Mammal,2445,2017-03-08 02:50:28.296771+00,1,6,253
75,Mammal,7581,2017-03-08 02:50:39.023527+00,1,6,555
76,Bird,4833,2017-03-08 02:50:47.186899+00,1,6,300
77,Bird,17680,2017-03-08 02:51:07.321198+00,1,6,544
78,Mammal,8655,2017-03-08 02:51:18.677833+00,1,6,164
79,Bird,9033,2017-03-08 02:51:30.976722+00,1,6,191
80,Mammal,4428,2017-03-08 02:51:38.791812+00,1,6,123
81,Mammal,2921,2017-03-08 02:51:45.726714+00,1,6,244
82,Bird,3189,2017-03-08 02:51:51.92861+00,1,6,303
83,Reptil,4204,2017-03-08 02:52:00.097344+00,1,6,70
84,Mammal,3089,2017-03-08 02:52:06.215611+00,1,6,522
85,Mammal,2957,2017-03-08 02:52:12.018936+00,1,6,360
86,Mammal,4786,2017-03-08 02:52:19.679258+00,1,6,88
87,Bird,3421,2017-03-08 02:52:26.138584+00,1,6,550
88,Mammal,3213,2017-03-08 02:52:32.295229+00,1,6,219
89,Mammal,3559,2017-03-08 02:52:39.507438+00,1,6,57
90,Mammal,3071,2017-03-08 02:52:45.519218+00,1,6,525
91,Bird,2100,2017-03-08 02:52:50.613925+00,1,6,409
92,Mammal,2176,2017-03-08 02:52:56.352073+00,1,6,94
93,Amphibian,3006,2017-03-08 02:53:05.999348+00,1,6,157
94,Mammal,7383,2017-03-08 02:53:18.149866+00,1,6,378
95,Mammal,6848,2017-03-08 02:53:27.727665+00,1,6,124
96,Mammal,16548,2017-03-08 02:53:47.599016+00,1,6,373
97,Mammal,4245,2017-03-08 02:53:56.762901+00,1,6,471
98,Mammal,2783,2017-03-08 02:54:02.991412+00,1,6,37
99,Mammal,3332,2017-03-08 02:54:09.008749+00,1,6,68
100,Mammal,6919,2017-03-08 02:54:18.789556+00,1,6,385
101,Amphibian,4573,2017-03-08 02:54:26.178633+00,1,6,543
102,Bird,2707,2017-03-08 02:54:31.418327+00,1,6,326
103,Mammal,1893,2017-03-08 02:54:36.270245+00,1,6,520
104,Bird,3095,2017-03-08 02:54:42.415871+00,1,6,166
105,Bird,7550,2017-03-08 02:54:55.03707+00,1,6,354
106,Bird,6859,2017-03-08 02:55:05.116796+00,1,6,527
107,Mammal,6293,2017-03-08 02:55:14.221076+00,1,6,327
108,Mammal,4932,2017-03-08 02:55:22.123232+00,1,6,343
109,Mammal,3520,2017-03-08 02:55:28.753839+00,1,6,308
110,Mammal,4192,2017-03-08 02:55:36.619308+00,1,6,440
111,Mammal,5094,2017-03-08 02:55:44.180725+00,1,6,205
112,Mammal,18546,2017-03-08 02:56:05.601627+00,1,6,83
114,Mammal,3757,2017-03-08 02:56:17.696228+00,1,6,263
119,Amphibian,5507,2017-03-08 02:56:57.73946+00,1,6,429
120,Bird,11663,2017-03-08 02:57:13.528279+00,1,6,356
121,Mammal,18862,2017-03-08 02:57:35.441126+00,1,6,494
122,Mammal,4925,2017-03-08 02:57:42.999018+00,1,6,551
123,Bird,11610,2017-03-08 02:57:57.331125+00,1,6,2
125,Reptil,10580,2017-03-08 02:58:25.027189+00,1,6,470
126,Mammal,63470,2017-03-08 02:59:21.104671+00,1,3,244
113,Bird,2829,2017-03-08 02:56:10.930692+00,1,6,277
115,Reptil,7691,2017-03-08 02:56:28.221833+00,1,6,240
116,Mammal,5318,2017-03-08 02:56:36.274049+00,1,6,506
117,Mammal,5465,2017-03-08 02:56:44.556265+00,1,6,366
118,Mammal,2337,2017-03-08 02:56:49.423476+00,1,6,325
124,Mammal,11367,2017-03-08 02:58:11.516839+00,1,6,278
127,Mammal,4576,2017-03-08 02:59:39.023335+00,1,8,453
128,Mammal,7335,2017-03-08 02:59:47.621725+00,1,8,378
129,Mammal,20248,2017-03-08 03:00:08.727412+00,1,3,343
130,Mammal,3091,2017-03-08 03:03:28.229124+00,1,3,259
131,Mammal,2610,2017-03-08 03:04:14.158623+00,1,3,289
132,Mammal,3210,2017-03-08 03:05:39.427797+00,1,3,440
133,Mammal,2952,2017-03-08 03:05:59.74057+00,1,3,68
134,Bird,3005,2017-03-08 03:09:08.153561+00,1,3,207
135,Bird,5586,2017-03-08 03:14:16.580071+00,1,3,269
136,Reptil,3874,2017-03-08 03:15:45.870399+00,1,3,344
137,Mammal,4501,2017-03-08 03:15:53.68772+00,1,3,360
138,Amphibian,2637,2017-03-08 03:15:58.415217+00,1,3,157
139,Bird,3343,2017-03-08 03:17:24.41423+00,1,3,277
140,Amphibian,13120,2017-03-08 03:18:49.468718+00,1,3,50
141,Mammal,2684,2017-03-08 03:37:37.262194+00,1,2,327
142,Mammal,7008,2017-03-08 19:56:37.409157+00,1,10,124
143,Reptil,12703,2017-03-08 22:33:36.226647+00,1,11,310
144,Mammal,4287,2017-03-08 22:34:28.461878+00,1,11,219
145,Mammal,2513,2017-03-08 22:40:38.370888+00,1,11,124
146,Mammal,2704,2017-03-08 22:43:23.420451+00,1,11,440
147,Mammal,5413,2017-03-08 22:47:27.335238+00,1,11,230
148,Mammal,3633,2017-03-08 22:48:36.089674+00,1,11,471
149,Bird,3251,2017-03-08 22:50:25.179598+00,1,11,269
150,Amphibian,3495,2017-03-08 22:51:36.802667+00,1,11,425
151,Mammal,3545,2017-03-08 22:53:15.037926+00,1,11,402
152,Mammal,5313,2017-03-08 22:53:29.918342+00,1,11,147
153,Reptil,4433,2017-03-08 22:56:04.616053+00,1,11,305
154,Bird,5500,2017-03-08 22:56:49.093368+00,1,11,527
155,Mammal,3708,2017-03-08 22:57:16.507904+00,1,11,520
156,Mammal,3742,2017-03-08 22:59:00.300187+00,1,11,453
157,Mammal,3210,2017-03-08 22:59:09.78859+00,1,11,94
158,Amphibian,4317,2017-03-08 22:59:21.169488+00,1,11,157
159,Bird,5232,2017-03-08 23:01:39.69739+00,1,11,354
160,Bird,6379,2017-03-08 23:04:00.679313+00,1,11,550
161,Bird,3117,2017-03-08 23:04:10.910737+00,1,11,324
162,Mammal,4351,2017-03-08 23:04:37.853207+00,1,11,289
163,Bird,5181,2017-03-08 23:05:53.62359+00,1,11,166
164,Amphibian,4356,2017-03-08 23:06:17.029552+00,1,11,543
165,Reptil,4268,2017-03-08 23:06:42.027913+00,1,11,545
166,Mammal,4588,2017-03-08 23:11:08.079289+00,1,11,327
167,Reptil,4541,2017-03-08 23:14:32.581989+00,1,11,459
168,Mammal,4127,2017-03-08 23:14:51.152036+00,1,11,565
169,Reptil,4885,2017-03-08 23:15:58.890162+00,1,11,119
170,Mammal,3921,2017-03-08 23:17:28.098055+00,1,11,123
171,Mammal,3959,2017-03-08 23:17:58.157874+00,1,11,188
172,Mammal,5100,2017-03-08 23:19:50.142212+00,1,11,572
173,Mammal,3200,2017-03-08 23:19:55.787444+00,1,11,343
174,Reptil,4018,2017-03-08 23:20:06.48247+00,1,11,344
175,Mammal,3274,2017-03-08 23:20:45.661095+00,1,11,325
176,Mammal,4673,2017-03-08 23:20:53.161001+00,1,11,221
177,Mammal,3882,2017-03-08 23:21:49.47479+00,1,11,275
178,Bird,4508,2017-03-08 23:21:56.393026+00,1,11,95
179,Mammal,4497,2017-03-09 13:52:58.077561+00,1,12,259
180,Mammal,2664,2017-03-09 13:53:21.027914+00,1,12,385
181,Mammal,3172,2017-03-09 13:53:33.297155+00,1,12,183
182,Mammal,4263,2017-03-09 13:53:42.85638+00,1,12,306
183,Bird,2234,2017-03-09 13:53:55.38525+00,1,12,354
184,Mammal,2885,2017-03-09 17:59:25.715446+00,1,2,404
185,Mammal,3581,2017-03-09 20:16:46.384014+00,1,12,419
186,Mammal,4766,2017-03-09 21:01:46.105654+00,1,15,471
187,Mammal,16465,2017-03-09 22:23:50.840067+00,1,16,230
188,Mammal,4635,2017-03-09 22:32:28.949386+00,1,16,494
189,Bird,5777,2017-03-09 22:36:42.776201+00,1,16,527
190,Mammal,9389,2017-03-09 22:43:57.93032+00,1,16,12
191,Bird,7914,2017-03-09 22:44:28.026706+00,1,16,329
192,Mammal,4946,2017-03-09 22:44:54.506441+00,1,16,306
193,Bird,3468,2017-03-09 22:45:17.654526+00,1,16,191
194,Mammal,3131,2017-03-09 22:46:31.473849+00,1,16,368
195,Bird,2608,2017-03-09 22:47:13.226004+00,1,16,288
